ID,Petal Length (cm),Petal Width (cm),Sepal Length (cm),Sepal Width (cm),Miles per Gallon,Gas Capacity (gal),Horsepower,Torque (lb-ft),Calories (kcal),Protein (g),Fat (g),Carbs (g),Petal_Area,Sepal_Area,Efficiency,Efficiency_Ratio
1,5.2,1.0,6.4,3.1,26,13,289,172,264,44,6,54,5.2,19.840000000000003,75.14,1.680232558139535
2,6.4,2.0,5.7,2.7,31,11,113,143,720,44,5,84,12.8,15.390000000000002,35.03,0.7902097902097902
3,6.0,1.8,5.9,2.6,27,15,194,273,543,42,20,66,10.8,15.340000000000002,52.38,0.7106227106227107
4,5.7,1.2,6.0,3.4,34,15,147,336,328,14,27,97,6.84,20.4,49.98,0.4375
5,4.8,1.2,6.2,3.5,22,19,114,307,671,48,27,22,5.76,21.7,25.08,0.3713355048859935
6,4.8,1.2,6.7,3.3,33,13,299,243,262,37,34,20,5.76,22.11,98.67,1.2304526748971194
7,4.6,1.3,5.8,2.8,36,15,289,160,338,16,28,24,5.9799999999999995,16.24,104.04,1.80625
8,6.2,1.5,6.3,2.6,23,11,139,276,698,18,9,33,9.3,16.38,31.97,0.5036231884057971
9,5.7,1.4,6.4,3.2,37,19,181,134,792,17,7,46,7.9799999999999995,20.480000000000004,66.97,1.3507462686567164
10,5.9,1.3,5.6,2.9,27,11,210,164,591,21,16,28,7.670000000000001,16.24,56.7,1.2804878048780488
