col1,col2,col3,col4,target
2,23,1,Apple,1
2,76.2,23,Banana,1
2,23,4,Carrot,0
2,3,23,Dog,0
3,3,45,Elephant,1
3,34,18,Flower,1
4,3,12,Giraffe,1
32,56.4,23,Hat,0
76,56,34,Ice cream,0
45,6,23,non,0
64,8,32,Kite,1
5,74.3,43,Lion,0
5,4,54,Mountain,1
56,52,12,Notebook,0
5,4,23,Orange,1
67,35,67,Piano,0
86,67,87,Queen,0
8,8,65,Rainbow,1
9,4,34,Sunflower,1
57,5,23,Tiger,0
43,3,34,Umbrella,0
8,26,56,missing entry,1
23,3,67,Watermelon,0
54,3,4,Xylophone,1
67,4,47,Yawn,1
56,6,36,Zebra,0
7,64.5,,Apple,0
89,76.2,14,Banana,0
8,5,25,Carrot,1
91,45.6,36,Dog,0
8,76.2,47,Elephant,1
91,4,58,no data,0
8,4,96,Giraffe,1
4,4,9,Hat,0
56,5,78,Ice cream,0
8,6,67,Jellyfish,1
6,3,564,Kite,1
8,4,122,Lion,0
9,5,34,missing entry,0
34,4,,Notebook,1
76,3,12,Orange,0
5,45,5,Piano,1
34,6,7,missing entry,1
4,7,89,Rainbow,0
57,8,65,Sunflower,0
6,6,53,Tiger,0
87,76,42,Umbrella,1
59,54,31,Volcano,0
2,3,23,Watermelon,1
2,23,16,Xylophone,0
34,4,27,Yawn,1
5,5,73,Zebra,0
6,67,84,Apple,0
7,6,95,Banana,1
8,76.2,74,Carrot,1
91,4,63,Dog,0
7,4,52,Elephant,0
91,4,1,Flower,1
3,5,2,Giraffe,0
4,6,453,Hat,1
5,3,34,Ice cream,1
4,4,23,Jellyfish,0
3,5,12,Kite,0
45,4,5,Lion,0
6,3,,Mountain,1
7,45,89,Notebook,0
8,6,65,Orange,1
8,7,53,Piano,0
76,8,42,Queen,1
54,6,31,Rainbow,0
3,76,23,Sunflower,0
23,54,16,Tiger,1
4,3,27,Umbrella,1
5,23,No Data,Volcano,0
67,4,84,Watermelon,0
6,5,95,Xylophone,1
54,67,Data missing,Yawn,0
8,6,63,Zebra,1
56,34,52,Apple,1
7,23,1,Banana,0
8,12,2,Carrot,0
,,,Dog,
,,,Elephant,
,,,Flower,
,,,Giraffe,
,,,Hat,
,,,Ice cream,
,,,Jellyfish,
,,,Kite,
,,,Lion,
,,,Mountain,
,,,Notebook,
,,,Orange,
,,,Piano,
,,,Queen,
,,,Rainbow,
,,,Sunflower,
,,,Tiger,
,,,Umbrella,
,,,Volcano,
