col1,col2,col3,target
1.0,23.0,2.0,1
1.0,234.0,23.0,1
2.0,23.0,4.0,0
2.0,2.0,23.0,0
3.0,2.0,45.0,1
3.0,34.0,18.0,1
4.0,3.0,12.0,1
32.0,564.0,23.0,0
76.0,56.0,34.0,0
45.0,6.0,23.0,0
64.0,8.0,32.0,1
5.0,743.0,43.0,0
5.0,4.0,54.0,1
56.0,52.0,12.0,0
5.0,4.0,23.0,1
67.0,35.0,67.0,0
86.0,67.0,87.0,0
8.0,8.0,65.0,1
9.0,4.0,34.0,1
57.0,5.0,23.0,0
43.0,3.0,34.0,0
,26.0,56.0,1
23.0,3.0,67.0,0
54.0,3.0,4.0,1
67.0,4.0,47.0,1
56.0,6.0,36.0,0
7.0,645.0,25.0,0
89.0,78.0,14.0,0
8.0,5.0,25.0,1
97.0,456.0,36.0,0
,78.0,47.0,1
453.0,4.0,58.0,0
,4.0,95.0,1
4.0,4.0,9.0,0
56.0,5.0,78.0,0
8.0,6.0,67.0,1
6.0,3.0,95.0,1
,4.0,95.0,0
9.0,5.0,34.0,0
34.0,4.0,23.0,1
76.0,3.0,12.0,0
5.0,45.0,5.0,1
34.0,6.0,7.0,1
4.0,7.0,89.0,0
57.0,8.0,65.0,0
6.0,,53.0,0
87.0,76.0,42.0,1
59.0,54.0,31.0,0
2.0,3.0,23.0,1
2.0,23.0,16.0,0
34.0,4.0,27.0,1
5.0,5.0,73.0,0
6.0,67.0,84.0,0
7.0,6.0,95.0,1
8.0,78.0,74.0,1
98.0,4.0,63.0,0
7.0,4.0,52.0,0
654.0,4.0,2.0,1
3.0,5.0,2.0,0
4.0,6.0,95.0,1
5.0,3.0,34.0,1
4.0,4.0,23.0,0
3.0,5.0,12.0,0
45.0,4.0,5.0,0
6.0,3.0,7.0,1
7.0,45.0,89.0,0
8.0,6.0,65.0,1
,7.0,53.0,0
76.0,8.0,42.0,1
54.0,,31.0,0
3.0,76.0,23.0,0
23.0,54.0,16.0,1
4.0,3.0,27.0,1
5.0,23.0,73.0,0
67.0,4.0,84.0,0
6.0,5.0,95.0,1
54.0,67.0,74.0,0
,6.0,63.0,1
56.0,34.0,52.0,1
7.0,23.0,2.0,0
8.0,12.0,2.0,0
